Date,Adj Close,Close,High,Low,Open,Volume

2023-07-17,61870.484375,72300.0,73600.0,72200.0,73000.0,5802800
2023-07-19,62127.2109375,72600.0,73000.0,72400.0,72500.0,3025100
2023-07-20,62127.2109375,72600.0,72800.0,72300.0,72600.0,2600707
2023-07-21,62897.37890625,73500.0,73500.0,72500.0,72600.0,3821822
2023-07-24,62982.95703125,73600.0,74000.0,73300.0,73500.0,2535331
2023-07-26,64180.9921875,75000.0,75200.0,74300.0,74400.0,3189718
2023-07-28,66234.7890625,77400.0,77700.0,75600.0,75800.0,6143629
2023-08-03,62127.2109375,72600.0,74100.0,72600.0,74100.0,2917624
2023-08-04,62469.49609375,73000.0,73000.0,72000.0,72500.0,3165221
2023-08-07,64095.4140625,74900.0,74900.0,72300.0,72900.0,5087933
2023-08-08,63753.12890625,74500.0,74900.0,73900.0,74700.0,3510526
2023-08-09,62555.0859375,73100.0,74500.0,72800.0,74500.0,3727162
2023-08-10,62555.0859375,73100.0,74000.0,72900.0,73100.0,2813226
2023-08-11,62897.37890625,73500.0,73500.0,72400.0,73100.0,2204332
2023-08-14,62811.80078125,73400.0,73500.0,72500.0,73400.0,3366514
2023-08-15,62298.359375,72800.0,73400.0,72700.0,72900.0,2259703
2023-08-16,62555.0859375,73100.0,73500.0,72500.0,72800.0,2083904
2023-08-17,62982.95703125,73600.0,74500.0,72900.0,73100.0,4650904
2023-08-18,62726.23828125,73300.0,74800.0,72100.0,73500.0,7106201
2023-08-21,62383.93359375,72900.0,73800.0,72700.0,72700.0,3617708
2023-08-22,62212.78515625,72700.0,73200.0,71100.0,73200.0,3075108
2023-08-23,62897.37890625,73500.0,73600.0,71600.0,72400.0,4172801
2023-08-24,63924.26953125,74700.0,74900.0,73000.0,73500.0,5206002
2023-08-25,64095.4140625,74900.0,75300.0,74300.0,75300.0,3045401
2023-08-28,66662.65625,77900.0,78100.0,75000.0,75000.0,6034900
2023-08-29,66234.7890625,77400.0,77600.0,76200.0,77500.0,4199801
2023-08-30,66577.0859375,77800.0,78500.0,76500.0,77000.0,2659700
2023-08-31,66577.0859375,77800.0,78900.0,77100.0,77500.0,4386000
2023-09-05,68545.3125,80100.0,80500.0,78100.0,78500.0,6839901
2023-09-06,68459.7421875,80000.0,80100.0,79500.0,80100.0,2280401
2023-09-07,68031.859375,79500.0,80000.0,78600.0,79900.0,3726700
2023-09-08,68459.7421875,80000.0,80100.0,79100.0,79200.0,2774901
2023-09-11,68031.859375,79500.0,81100.0,77600.0,80000.0,4234900
2023-09-12,68716.4609375,80300.0,80700.0,78300.0,79000.0,2708500
2023-09-13,67689.5703125,79100.0,80300.0,78700.0,79600.0,2507600
2023-09-14,67946.28125,79400.0,80000.0,78400.0,78500.0,2660100
2023-09-15,68031.859375,79500.0,81200.0,79000.0,79400.0,5614800
2023-09-18,67518.40625,78900.0,79800.0,78700.0,79100.0,1499600
2023-09-19,67518.40625,78900.0,78900.0,77400.0,78500.0,2571703
2023-09-20,67004.96875,78300.0,78800.0,78000.0,78400.0,2403202
2023-09-21,66748.2421875,78000.0,78300.0,77300.0,78100.0,2577902
2023-09-22,66320.375,77500.0,78300.0,75800.0,77100.0,4361903
2023-09-25,66405.9375,77600.0,78500.0,76700.0,77200.0,2795503
2023-09-26,65122.31640625,76100.0,78000.0,76000.0,77600.0,2634600
2023-09-27,65550.1875,76600.0,76600.0,74800.0,76300.0,2273300
2023-09-28,64009.8515625,74800.0,76400.0,74800.0,76100.0,2034300
2023-09-29,63496.40234375,74200.0,76400.0,74200.0,75000.0,1403900
2023-10-02,64694.45703125,75600.0,75600.0,74200.0,74200.0,1304901
2023-10-03,63325.24609375,74000.0,75100.0,73900.0,74600.0,2013700
2023-10-04,63667.55078125,74400.0,74600.0,73400.0,73600.0,1177900
2023-10-05,62212.78515625,72700.0,74400.0,72700.0,74100.0,2645700
2023-10-06,63496.40234375,74200.0,74200.0,72600.0,72700.0,1327000
2023-10-09,63068.53125,73700.0,74100.0,73600.0,74000.0,1621374
2023-10-10,63667.55078125,74400.0,75000.0,74000.0,74300.0,1123900
2023-10-11,63667.55078125,74400.0,74800.0,74000.0,74600.0,1898774
2023-10-12,64608.87890625,75500.0,75900.0,74500.0,74500.0,2534800
2023-10-13,64865.59765625,75800.0,76300.0,75000.0,75400.0,1560000
2023-10-16,64352.15625,75200.0,75800.0,74700.0,75100.0,1374400
2023-10-17,64009.8515625,74800.0,76100.0,74800.0,75300.0,1595900
2023-10-18,63239.67578125,73900.0,74800.0,72400.0,74800.0,2572400
2023-10-19,61100.3125,71400.0,73400.0,70900.0,73400.0,4007700
2023-10-20,61870.484375,72300.0,72500.0,70200.0,71300.0,2371808
2023-10-23,60073.4140625,70200.0,72000.0,70100.0,71700.0,2804900
2023-10-24,60158.984375,70300.0,70800.0,70100.0,70200.0,1099508
2023-10-25,59046.51953125,69000.0,70800.0,69000.0,70300.0,2477700
2023-10-26,57335.02734375,67000.0,68600.0,65900.0,68500.0,5201700
2023-10-27,58190.7734375,68000.0,68000.0,66600.0,67300.0,1811000
2023-10-30,57848.47265625,67600.0,68000.0,67100.0,67900.0,1112000
2023-10-31,58190.7734375,68000.0,69500.0,67600.0,67900.0,2183600
2023-11-01,60244.5703125,70400.0,70500.0,67900.0,69000.0,2337200
2023-11-02,60672.44140625,70900.0,70900.0,69800.0,70500.0,2390200
2023-11-03,59902.26953125,70000.0,70900.0,69800.0,70900.0,1692700
2023-11-06,60758.015625,71000.0,71500.0,70100.0,70200.0,1136800
2023-11-07,60586.86328125,70800.0,70800.0,69800.0,70500.0,1474700
2023-11-08,61100.3125,71400.0,71500.0,69800.0,70800.0,2339600
2023-11-09,60501.28515625,70700.0,72100.0,70700.0,71600.0,3420100
2023-11-10,59559.96875,69600.0,70800.0,69600.0,70800.0,2833100
2023-11-13,58789.78515625,68700.0,70000.0,68600.0,69700.0,1730800
2023-11-14,58960.94921875,68900.0,69400.0,68200.0,69000.0,2996000
2023-11-15,60501.28515625,70700.0,71800.0,70000.0,70000.0,3949400
2023-11-16,60158.984375,70300.0,71300.0,69900.0,70600.0,2368200
2023-11-17,59902.26953125,70000.0,71100.0,69200.0,71000.0,2335800
2023-11-20,59303.24609375,69300.0,69900.0,69000.0,69200.0,2001000
2023-11-21,59474.39453125,69500.0,69800.0,68900.0,69400.0,2989800
2023-11-22,59388.81640625,69400.0,70200.0,69000.0,69500.0,1533200
2023-11-23,58789.78515625,68700.0,69900.0,68700.0,69800.0,1653100
2023-11-24,58447.5,68300.0,68900.0,67600.0,68600.0,3128900
2023-11-27,58276.3515625,68100.0,68400.0,67900.0,68300.0,1333300
2023-11-28,58618.64453125,68500.0,68500.0,67500.0,68100.0,2192953
2023-11-29,58533.07421875,68400.0,68800.0,68200.0,68500.0,1419153
2023-11-30,57677.32421875,67400.0,68700.0,67400.0,68400.0,2630600
2023-12-01,58533.07421875,68400.0,68500.0,67700.0,68000.0,1558800
2023-12-04,58875.3671875,68800.0,69500.0,68400.0,68500.0,3006600
2023-12-05,58276.3515625,68100.0,69000.0,68000.0,68800.0,2302100
2023-12-06,58618.64453125,68500.0,68600.0,68100.0,68100.0,1606600
2023-12-07,58533.07421875,68400.0,68800.0,67500.0,68800.0,3921300
2023-12-08,59046.51953125,69000.0,69300.0,68000.0,68400.0,3729400
2023-12-11,59902.26953125,70000.0,70500.0,69900.0,70500.0,4763200
2023-12-12,59388.81640625,69400.0,70100.0,69000.0,70000.0,2788700
2023-12-13,58361.91796875,68200.0,69700.0,68100.0,69600.0,4601000
2023-12-15,58276.3515625,68100.0,68600.0,68100.0,68500.0,4122500
2023-12-18,57335.02734375,67000.0,68200.0,67000.0,68100.0,3613100
2023-12-19,57335.02734375,67000.0,67400.0,66300.0,67100.0,3151900
2023-12-20,58276.3515625,68100.0,68200.0,67000.0,67000.0,2623900
2023-12-21,58019.6171875,67800.0,68300.0,67800.0,67900.0,2875900
2023-12-22,57848.47265625,67600.0,68100.0,67500.0,67800.0,2620700
2023-12-25,58105.19921875,67900.0,68700.0,67600.0,67600.0,3128279
2023-12-26,58190.7734375,68000.0,68500.0,68000.0,68300.0,1975400
2023-12-27,58190.7734375,67500.0,68200.0,67500.0,68000.0,1736400
2023-12-28,59052.85546875,68500.0,68500.0,67500.0,67500.0,2873700
2023-12-29,58276.98046875,67600.0,68700.0,67600.0,68700.0,2257800
2024-01-02,58880.44140625,68300.0,68500.0,67900.0,68200.0,2142800
2024-01-03,59483.90234375,69000.0,69000.0,68000.0,68400.0,1979801
2024-01-04,59483.90234375,69000.0,69500.0,69000.0,69100.0,3401500
2024-01-05,59311.484375,68800.0,69300.0,68500.0,69300.0,1775700
2024-01-08,58794.23046875,68200.0,69100.0,68200.0,69000.0,2396400
2024-01-09,58708.02734375,68100.0,68500.0,68000.0,68200.0,2579400
2024-01-10,58190.7734375,67500.0,68100.0,67400.0,68100.0,3006600
2024-01-11,58535.609375,67900.0,68500.0,67500.0,67500.0,2083900
2024-01-12,57932.14453125,67200.0,67900.0,67000.0,67600.0,3283000
2024-01-15,57759.73046875,67000.0,67500.0,67000.0,67200.0,2336501
2024-01-16,58104.5703125,67400.0,67400.0,66700.0,67000.0,2072400
2024-01-17,57845.9375,67100.0,67900.0,67000.0,67500.0,1916400
2024-01-19,58621.81640625,68000.0,68600.0,67400.0,67400.0,2809300
2024-01-22,58880.44140625,68300.0,68700.0,68000.0,68000.0,1959800
2024-01-23,58363.1875,67700.0,68300.0,67600.0,68300.0,2252000
2024-01-24,58018.359375,67300.0,68000.0,67200.0,67800.0,2083500
2024-01-25,57673.51953125,66900.0,67500.0,66900.0,67400.0,2800500
2024-01-26,57759.73046875,67000.0,67500.0,67000.0,67000.0,1675800
2024-01-29,57759.73046875,67000.0,67300.0,66900.0,67100.0,2153800
2024-01-30,57673.51953125,66900.0,67300.0,66900.0,67300.0,1840400
2024-01-31,57759.73046875,67000.0,68200.0,66900.0,67200.0,4441100
2024-02-01,58190.7734375,67500.0,67800.0,67200.0,67200.0,2549300
2024-02-02,58104.5703125,67400.0,67700.0,67000.0,67500.0,2677300
2024-02-05,58621.81640625,68000.0,68200.0,67200.0,67400.0,3565900
2024-02-06,58276.98046875,67600.0,68200.0,67600.0,68100.0,2463800
2024-02-07,58276.98046875,67600.0,67900.0,67200.0,67600.0,2736300
2024-02-15,58276.98046875,67600.0,68000.0,67200.0,67600.0,4115500
2024-02-16,60345.98828125,70000.0,70300.0,67500.0,67800.0,11114600
2024-02-19,61983.953125,71900.0,72600.0,70700.0,70900.0,7144500
2024-02-20,61639.1171875,71500.0,72400.0,71300.0,71700.0,4435700
2024-02-21,61466.703125,71300.0,71900.0,71000.0,71500.0,3590200
2024-02-22,61725.3203125,71600.0,72700.0,71100.0,71300.0,4698100
2024-02-23,61208.078125,71000.0,72700.0,71000.0,71800.0,6142500
2024-02-26,61208.078125,71000.0,71700.0,70700.0,71000.0,3138400
2024-02-27,62070.16015625,72000.0,72400.0,71100.0,71200.0,5282500
2024-02-28,62242.56640625,72200.0,72600.0,71500.0,72400.0,3509000
2024-02-29,62070.16015625,72000.0,73300.0,71600.0,72600.0,6568800
2024-03-01,61639.1171875,71500.0,72100.0,71200.0,72100.0,4487700
2024-03-04,62070.16015625,72000.0,72700.0,71600.0,71800.0,5014600
2024-03-05,62932.23828125,73000.0,73000.0,71700.0,72000.0,5530900
2024-03-06,61897.74609375,71800.0,73500.0,71800.0,73300.0,4833900
2024-03-07,62070.16015625,72000.0,72100.0,71300.0,71700.0,5217600
2024-03-08,60345.98828125,70000.0,72900.0,70000.0,72100.0,7361000
2024-03-11,61393.9609375,70300.0,71300.0,70000.0,70500.0,4268400
2024-03-12,61131.97265625,70000.0,70600.0,70000.0,70400.0,3844000
2024-03-13,61830.62109375,70800.0,70900.0,70000.0,70100.0,5706500
2024-03-14,61568.62109375,70500.0,71300.0,70300.0,71000.0,5476400
2024-03-15,60860.94140625,68800.0,70100.0,68700.0,70100.0,4851100
2024-03-18,60064.796875,67900.0,69100.0,67600.0,68800.0,6796300
2024-03-19,59976.33203125,67800.0,68500.0,67800.0,68500.0,3222100
2024-03-20,60153.25,68000.0,68600.0,67500.0,67800.0,3657800
2024-03-21,60507.1015625,68400.0,68500.0,67900.0,68200.0,5061700
2024-03-22,59976.33203125,67800.0,68700.0,67800.0,68600.0,6162600
2024-03-25,59534.03125,67300.0,68200.0,67100.0,67900.0,5588600
2024-03-26,59887.87109375,67700.0,67900.0,67300.0,67400.0,2524500
2024-03-27,59887.87109375,67700.0,68000.0,67500.0,68000.0,2815600
2024-03-28,59887.87109375,67700.0,68400.0,67600.0,67700.0,4492200
2024-03-29,59799.4140625,67600.0,68400.0,67500.0,68400.0,3694900
2024-04-01,59268.6484375,67000.0,67700.0,67000.0,67600.0,5013000
2024-04-02,59534.03125,67300.0,67400.0,66700.0,67000.0,4322900
2024-04-03,59003.265625,66700.0,67300.0,66700.0,67300.0,5046100
2024-04-04,60330.18359375,68200.0,68400.0,66700.0,66700.0,8598100
2024-04-05,60064.796875,67900.0,68200.0,67700.0,68200.0,4233800
2024-04-08,59268.6484375,67000.0,68000.0,66900.0,68000.0,3716000
2024-04-09,59268.6484375,67000.0,67300.0,66800.0,67100.0,2516000
2024-04-10,59091.7265625,66800.0,67300.0,66800.0,67100.0,4464100
2024-04-11,58914.8046875,66600.0,66900.0,66500.0,66700.0,2947700
2024-04-12,59003.265625,66700.0,67100.0,66600.0,66800.0,2509200
2024-04-15,57410.97265625,64900.0,66700.0,64900.0,66700.0,5776100
2024-04-16,56614.828125,64000.0,65000.0,63000.0,64900.0,7128700
2024-04-17,56791.75,64200.0,64900.0,64200.0,64400.0,5144500
2024-04-19,56791.75,64200.0,64400.0,63300.0,64200.0,4677100
2024-04-22,56614.828125,64000.0,65300.0,64000.0,64700.0,2035200
2024-04-23,56172.5234375,63500.0,64300.0,63200.0,64200.0,2139400
2024-04-24,56614.828125,64000.0,64300.0,63500.0,64000.0,2478300
2024-04-25,57234.0546875,64700.0,64800.0,63900.0,64000.0,2006000
2024-04-26,57499.43359375,65000.0,65800.0,64500.0,64700.0,2940600
2024-05-02,57853.2734375,65400.0,65500.0,64900.0,65400.0,2563400
2024-05-03,58030.19921875,65600.0,66000.0,65500.0,65600.0,2204400
2024-05-06,58207.12109375,65800.0,66400.0,65500.0,65800.0,2261300
2024-05-07,60153.25,68000.0,68500.0,65900.0,66000.0,8723900
2024-05-08,60064.796875,67900.0,68000.0,67100.0,68000.0,2984400
2024-05-09,58914.8046875,66600.0,67900.0,66600.0,67900.0,2998000
2024-05-10,58826.34765625,66500.0,67500.0,66100.0,66700.0,2438800
2024-05-13,58207.12109375,65800.0,66800.0,65400.0,66600.0,2882500
2024-05-14,58826.34765625,66500.0,67000.0,65900.0,65900.0,2704800
2024-05-15,59268.6484375,67000.0,67300.0,66700.0,66900.0,3895400
2024-05-16,59445.56640625,67200.0,67700.0,67000.0,67100.0,3153300
2024-05-17,59268.6484375,67000.0,67800.0,66800.0,67300.0,4349200
2024-05-20,58737.8828125,66400.0,67600.0,66400.0,67100.0,4941500
2024-05-21,58560.96484375,66200.0,66600.0,65800.0,66400.0,3821200
2024-05-22,58207.12109375,65800.0,66700.0,65800.0,66400.0,3728300
2024-05-23,59268.6484375,67000.0,67000.0,65800.0,66000.0,2991400
2024-05-24,58384.04296875,66000.0,66900.0,65700.0,66700.0,4194100
2024-05-27,58472.50390625,66100.0,66600.0,65800.0,66100.0,2426600
2024-05-28,59091.7265625,66800.0,67300.0,66100.0,66300.0,5787500
2024-05-29,58649.42578125,66300.0,67300.0,66000.0,67000.0,3644200
2024-05-30,58118.65625,65700.0,66200.0,65500.0,66100.0,4502600
2024-05-31,57853.2734375,65400.0,65900.0,65300.0,65900.0,4165400
2024-06-03,58472.50390625,66100.0,66600.0,65700.0,65800.0,3302200
2024-06-04,58384.04296875,66000.0,66600.0,66000.0,66100.0,3755800
2024-06-05,60595.55859375,68500.0,69200.0,66200.0,66200.0,11865800
2024-06-06,59445.56640625,67200.0,69000.0,67200.0,69000.0,4907800
2024-06-07,59976.33203125,67800.0,68600.0,67500.0,67600.0,4127600
2024-06-10,59445.56640625,67200.0,68500.0,67200.0,68400.0,4584100
2024-06-11,58826.34765625,66500.0,67500.0,66400.0,67400.0,6177000
2024-06-12,59268.6484375,67000.0,67300.0,66300.0,66500.0,3522696
2024-06-13,59180.18359375,66900.0,67400.0,66800.0,67000.0,4003600
2024-06-14,58560.96484375,66200.0,67300.0,66200.0,67000.0,4124200
2024-06-17,58384.04296875,66000.0,66600.0,66000.0,66300.0,3617600
2024-06-18,58295.58203125,65900.0,66500.0,65900.0,66500.0,2751700
2024-06-19,57764.8203125,65300.0,66000.0,65100.0,66000.0,6211000
2024-06-20,58384.04296875,66000.0,66800.0,65200.0,65400.0,4397100
2024-06-21,58384.04296875,66000.0,67100.0,66000.0,66500.0,4023700
2024-06-24,57941.73828125,65500.0,66600.0,65300.0,66100.0,3871900
2024-06-25,57941.73828125,65500.0,66200.0,65500.0,65800.0,3680600
2024-06-26,57676.35546875,65200.0,65800.0,65100.0,65800.0,2599300
2024-06-27,57764.8203125,65300.0,65600.0,65100.0,65200.0,2755400
2024-06-28,57941.73828125,65500.0,66000.0,65300.0,65500.0,2821700
2024-07-01,58384.04296875,66000.0,66000.0,65300.0,65800.0,1909300
2024-07-02,58560.96484375,66200.0,66300.0,65800.0,66000.0,2042800
2024-07-03,58560.96484375,66200.0,66300.0,66000.0,66200.0,1437600
2024-07-04,58737.8828125,66400.0,66900.0,66300.0,66300.0,2688900
2024-07-05,59445.56640625,67200.0,67500.0,66400.0,66400.0,4285100
2024-07-08,59799.4140625,67600.0,67700.0,67000.0,67300.0,4942400
2024-07-09,59710.953125,67500.0,67800.0,67200.0,67600.0,5045200
2024-07-10,59091.7265625,66800.0,67800.0,66800.0,67500.0,3991700
2024-07-11,58649.42578125,66300.0,67000.0,66300.0,66900.0,3787100
2024-07-12,58649.42578125,66300.0,66600.0,66100.0,66400.0,2189900
2024-07-15,58560.96484375,66200.0,66900.0,66200.0,66300.0,2155300
2024-07-16,58472.50390625,66100.0,66700.0,66100.0,66400.0,2243700
2024-07-17,58118.65625,65700.0,66500.0,65600.0,66200.0,3464800
2024-07-18,58295.58203125,65900.0,66000.0,65500.0,66000.0,2363000
2024-07-19,57764.8203125,65300.0,65900.0,65100.0,65900.0,3412700
2024-07-22,57853.2734375,65400.0,66000.0,65200.0,65300.0,2654800
2024-07-23,58295.58203125,65900.0,66300.0,65500.0,65600.0,3777800
2024-07-24,58030.19921875,65600.0,66100.0,65600.0,65800.0,3913500
2024-07-25,58030.19921875,65600.0,65700.0,65300.0,65600.0,1957600
2024-07-26,58207.12109375,65800.0,66200.0,65400.0,65400.0,3275400
2024-07-29,59445.56640625,67200.0,67600.0,65900.0,66200.0,5781800
2024-07-30,59887.87109375,67700.0,68400.0,66900.0,67300.0,6465600
2024-07-31,63337.8359375,71600.0,72000.0,68500.0,68500.0,21564900
2024-08-01,62187.8515625,70300.0,71900.0,70100.0,71800.0,8955800
2024-08-02,63249.375,71500.0,71900.0,70000.0,70000.0,10290200
2024-08-05,61391.70703125,69400.0,71200.0,68500.0,71000.0,12245500
2024-08-06,64310.90234375,72700.0,73300.0,70000.0,70300.0,13950400
2024-08-07,65283.9765625,73800.0,73800.0,72400.0,73200.0,10740700
2024-08-08,64310.90234375,72700.0,74400.0,72200.0,73900.0,7608800
2024-08-09,64841.671875,73300.0,73400.0,72500.0,72800.0,4527500
2024-08-12,64576.28515625,73000.0,74400.0,72800.0,73300.0,5804000
2024-08-13,65283.9765625,73800.0,74400.0,72700.0,72800.0,6834400
2024-08-14,65460.89453125,74000.0,74100.0,73300.0,74000.0,5456225
2024-08-15,65283.9765625,73800.0,74600.0,73700.0,74000.0,4255830
2024-08-16,65283.9765625,73800.0,74100.0,73200.0,74000.0,7392917
2024-08-19,67230.109375,76000.0,76000.0,73800.0,74000.0,7917931
2024-08-20,66876.265625,75600.0,76200.0,75300.0,76000.0,4177349
2024-08-21,66610.890625,75300.0,76100.0,75100.0,75200.0,3991045
2024-08-22,65637.8203125,74200.0,76000.0,73600.0,76000.0,6025954
2024-08-23,66257.0390625,74900.0,75600.0,74400.0,74900.0,3307633
2024-08-26,64930.12890625,73400.0,75000.0,73300.0,74900.0,6324827
2024-08-28,65372.43359375,73900.0,74000.0,73200.0,73600.0,3352840
2024-08-29,65018.58984375,73500.0,74000.0,73400.0,73700.0,2042980
2024-08-30,65372.43359375,73900.0,74800.0,73400.0,73600.0,3675800
2024-09-04,65726.2734375,74300.0,74500.0,73100.0,73300.0,2839125
2024-09-05,66080.125,74700.0,75400.0,74100.0,74300.0,5857542
